PARTY_ID,EXTERNAL_ID,STATUS_ID,CREATED_DATE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,GENDER,BIRTH_DATE,LOCAL_STORE_PREFERENCE,ASSIGNED_STORE,GROUP_NAME,COMPANY_NAME,ACCOUNT_ID,RESPONSIBLE_FOR,TO_NAME,ATTN_NAME,ADDRESS1,ADDRESS2,CITY,POSTAL_CODE,POSTAL_CODE_EXT,COUNTRY_ID,STATE_PROVINCE_ID,POSTAL_ALLOW_SOLICITATION,PHONE,PHONE_ALLOW_SOLICITATION,EMAIL,EMAIL_ALLOW_SOLICITATION
85,01K0WQXDHX5M30S70FDQZM3G4Y,PARTY_DISABLED,2024-11-12,Will,,Wickmann,,1991-04-10,003,001,,Devpoint,091911302,cwickmann2c,Candis Wickmann,Candis Wickmann,28 Almo Place,,Lansing,48919,1033,US,MI,N,5173585262,Y,,
73,01K0WQXDGFFNQ33G14N5A3HZ76,PARTY_ENABLED,2025-03-03,Tarra,,Wilce,,1968-09-20,001,003,,Voonyx,091204080,bwilce20,Basia Wilce,Basia Wilce,5 Ridgeway Street,,Lake Worth,33467,2328,US,FL,Y,5618708989,N,,
66,01K0WQXDFKGXAQFYJTFXPBZV9W,PARTY_DISABLED,2024-05-12,Sybila,,Evequot,F,1996-12-30,001,001,,,021213177,kevequot1t,,,381 Novick Pass,,Jacksonville,32230,7994,US,FL,N,9046424948,N,,
38,01K0WQXDDADGR10E5KCCJ0H3ZH,PARTY_ENABLED,2021-06-03,Chris,,Racher,U,1972-09-17,003,003,,,273970941,vracher11,Vittoria Racher,Vittoria Racher,86888 4th Avenue,,Tampa,33605,28,US,FL,Y,8138117780,N,,
42,01K0WQXDDMN022E7J5DBM4H3R9,PARTY_ENABLED,2020-06-24,Mireielle,,Bearman,,1951-04-05,003,001,G1,,,mbearman15,,,17 Almo Avenue,,New York City,10155,3889,US,NY,Y,9171476645,Y,,
43,01K0WQXDDQ1FB2BE6AHQD4S8TY,PARTY_ENABLED,2021-04-21,Ellen,,Sazio,,1994-01-06,002,002,G1,,,rsazio16,,,8 Elka Avenue,,Austin,78783,4468,US,TX,N,5125779890,N,,
56,01K0WQXDEQNGY23FAHGPACC3ZP,PARTY_ENABLED,2024-12-01,Ulrika,,Bellin,,1983-06-13,003,001,,Jayo,222370440,jbellin1j,,,237 Lighthouse Bay Pass,,Gadsden,35905,3208,US,AL,Y,2562143638,Y,,
79,01K0WQXDH4HEVKH9ETH7S5S0Q3,PARTY_ENABLED,2025-01-09,Koenraad,,Fryd,,1965-06-08,003,002,,Cogibox,044172282,afryd26,,,8 Corscot Hill,,Oakland,94616,7371,US,CA,N,5106361391,N,mfryd26@a8.net,Y
87,01K0WQXDJ374YNGQXQ8PCZENYS,PARTY_DISABLED,2021-09-07,Cherilynn,,MacLure,,1982-06-30,001,002,G3,,,nmaclure2e,,,008 Texas Avenue,,Saint Louis,63169,9958,US,MO,Y,3145474331,Y,wmaclure2e@g.co,Y
97,01K0WQXDKB90WARNH190T7A9CA,PARTY_DISABLED,2022-06-16,Lilly,Diane-marie,Kiley,U,1957-06-24,001,002,G3,,,dkiley2o,,,334 South Trail,,New York City,10150,8808,US,NY,Y,2129894114,Y,dkiley2o@dot.gov,N
10,01K0WQXDA73170PQQHQK7WWZ4E,PARTY_DISABLED,2022-01-04,Cathryn,Ginnie,Rapi,M,2001-09-21,002,002,,Jetwire,063113523,grapi9,Ginnie Rapi,Ginnie Rapi,50544 Aberg Point,,Austin,78759,4573,US,TX,N,5129682904,Y,grapi9@weibo.com,N
31,01K0WQXDCRPEC1QWT9HTPMZD2G,PARTY_ENABLED,2021-10-02,Vinson,Helena,Vorley,U,1994-07-23,003,003,,,,hvorleyu,Helena Vorley,Helena Vorley,98529 Kropf Place,,South Lake Tahoe,96154,1814,US,CA,Y,5308697112,Y,hvorleyu@tiny.cc,N
15,01K0WQXDAK1W71APTMKQBRHGD2,PARTY_DISABLED,2022-01-11,Rachelle,,Domenc,,1969-06-13,002,003,G2,Blogpad,,kdomence,,,2 Summit Center,,Evansville,47719,1643,US,IN,Y,8128197873,Y,jdomence@umn.edu,N
13,01K0WQXDAFN8915B38X55NJA0X,PARTY_ENABLED,2020-06-18,Zebulen,,Morena,F,1972-12-27,002,001,,,062202150,bmorenac,Borden Morena,Borden Morena,377 Service Place,,Sterling,20167,4858,US,VA,N,5712333840,N,bmorenac@uiuc.edu,Y
28,01K0WQXDCHFE7WXV3ZFN54E5Z8,PARTY_ENABLED,2023-10-19,Trix,,Irvin,,1958-03-12,001,002,,,,birvinr,,,79 Ludington Hill,,Santa Fe,87505,7192,US,NM,Y,5052262732,Y,tirvinr@yahoo.com,N
68,01K0WQXDFQGDM9T95YZ9WK95XF,PARTY_DISABLED,2025-04-30,Lloyd,,Mahood,,1998-10-30,003,002,G1,Bubblemix,055000259,cmahood1v,Charlotte Mahood,Charlotte Mahood,6574 Scoville Junction,,Salt Lake City,84105,6712,US,UT,Y,8017072831,Y,cmahood1v@cmu.edu,N
92,01K0WQXDJRZ7WYJFKW31D2A39G,PARTY_ENABLED,2023-05-11,Benoit,,Pay,U,1958-07-11,001,003,,Skipstorm,,hpay2j,Harlin Pay,Harlin Pay,766 Mesta Drive,,Honolulu,96825,5426,US,HI,N,8085189278,Y,hpay2j@elpais.com,N
45,01K0WQXDDWY5CKXJP85Z5AZFYJ,PARTY_ENABLED,2022-09-24,Marcelle,Gradeigh,Linham,,1950-01-15,003,003,,,063107393,glinham18,,,452 Jay Parkway,,Indianapolis,46226,371,US,IN,N,3177544058,N,glinham18@loc.gov,N
21,01K0WQXDBXV057BSQQ6DPKM17J,PARTY_ENABLED,2025-06-28,Sophey,,Cothey,,1997-12-21,001,002,G1,,084101323,acotheyk,Arie Cothey,Arie Cothey,2903 Eastlawn Place,,San Diego,92121,190,US,CA,Y,6199620616,N,acotheyk@vimeo.com,Y
80,01K0WQXDH898X7C890HA1JYGX4,PARTY_ENABLED,2023-02-14,Jecho,,Falla,U,1980-03-19,002,002,,,,ffalla27,,,0054 Hintze Road,,Richmond,94807,9690,US,CA,N,5102344743,Y,cfalla27@youku.com,N
20,01K0WQXDBT08T436DHYCC9V2TM,PARTY_DISABLED,2024-11-20,Elle,,Marcham,U,1952-08-29,003,001,,,051408936,gmarchamj,,,9 Elka Hill,,Little Rock,72209,7625,US,AR,N,5013033023,Y,smarchamj@gmpg.org,N
23,01K0WQXDC4JPH1H7NRFHEX0KR0,PARTY_ENABLED,2022-03-13,Adriano,,Cresser,F,1977-02-06,001,001,G3,Devify,,tcresserm,,,577 Bultman Terrace,,Shreveport,71105,9795,US,LA,N,3183014313,Y,acresserm@bing.com,N
52,01K0WQXDEEQ0BJHHKA50B5WSCH,PARTY_ENABLED,2025-01-27,Constanta,,Daviot,F,1962-10-18,002,002,,,,adaviot1f,Annie Daviot,Annie Daviot,40 Glendale Plaza,,Tacoma,98481,8872,US,WA,N,2532603293,Y,adaviot1f@xing.com,N
17,01K0WQXDARRAAA1HDF09J8G7MS,PARTY_DISABLED,2022-07-29,Charla,Addison,Fassan,F,1982-03-26,001,001,,,041205521,afassang,,,376 Truax Hill,,El Paso,79928,870,US,TX,Y,9155286269,Y,afassang@jimdo.com,N
6,01K0WQXD9S2M7YHWMWF7F5PJ6F,PARTY_ENABLED,2022-07-25,Burke,,Witherdon,U,1956-02-16,001,001,,,,awitherdon5,Anette Witherdon,Anette Witherdon,069 Texas Parkway,,Arlington,22205,2518,US,VA,Y,7035790955,Y,awitherdon5@pen.io,Y
49,01K0WQXDE6PC0BAHGCMZN4QJE1,PARTY_DISABLED,2021-09-30,Marian,Ranice,Urridge,M,1980-02-20,001,001,,,101102836,rurridge1c,Ranice Urridge,Ranice Urridge,33 Sullivan Junction,,Honolulu,96815,3741,US,HI,Y,8084417421,Y,rurridge1c@aol.com,Y
7,01K0WQXD9YQT8K227AC018JBJS,PARTY_ENABLED,2024-06-10,Mata,,Brennans,M,1998-10-02,001,002,,,,mbrennans6,Morie Brennans,Morie Brennans,19426 Grasskamp Crossing,,Bonita Springs,34135,3694,US,FL,N,9417757269,Y,mbrennans6@ovh.net,Y
95,01K0WQXDK3DVCPVYK0K034D0DA,PARTY_DISABLED,2022-06-25,Alic,,Blesing,F,1987-03-30,003,001,,Aivee,103000017,kblesing2m,Kaine Blesing,Kaine Blesing,0379 Lakewood Avenue,,Phoenix,85053,3392,US,AZ,Y,6027777248,Y,kblesing2m@ftc.gov,N
8,01K0WQXDA2YTAPW2QWFS7W6CVA,PARTY_DISABLED,2025-01-02,Kaitlin,,Desorts,,1972-03-15,002,001,G3,Eare,,pdesorts7,Pepillo Desorts,Pepillo Desorts,5871 Gateway Crossing,,Orlando,32803,8643,US,FL,N,4079353757,Y,pdesorts7@house.gov,Y
32,01K0WQXDCT48K9SMDCCV5RF8JG,PARTY_ENABLED,2024-12-26,Natty,,Blunsden,U,1975-10-13,001,003,,Fatz,,mblunsdenv,,,1256 Montana Court,,Olympia,98516,3415,US,WA,Y,2532980446,Y,kblunsdenv@1688.com,N
51,01K0WQXDEBSKRSJSH80735T2AW,PARTY_DISABLED,2025-05-05,Gabriellia,Gordan,Hymans,,1970-08-03,002,002,,Youspan,082907202,ghymans1e,Gordan Hymans,Gordan Hymans,63 Ridgeview Lane,,Baltimore,21203,1082,US,MD,Y,4436888180,Y,ghymans1e@alexa.com,N
25,01K0WQXDC9YT1GWX5T7YKCC5DG,PARTY_ENABLED,2024-08-09,Bevvy,,Wheatland,,1976-03-21,003,003,,Thoughtbeat,,mwheatlando,,,74560 6th Circle,,Saint Louis,63110,1955,US,MO,N,3143977559,N,mwheatlando@msu.edu,N
65,01K0WQXDFG5S7Z2H8Q8RDZVP8F,PARTY_ENABLED,2020-12-20,Leesa,,Wehner,M,1950-04-11,002,001,,Dabfeed,084306953,pwehner1s,,,5077 Debs Drive,,Hartford,06140,5570,US,CT,N,8609668633,Y,cwehner1s@google.ca,N
47,01K0WQXDE0NNWNFFN6S3S3V080,PARTY_DISABLED,2021-05-29,Rebekah,,Harwood,,1963-11-27,001,001,,,082908829,aharwood1a,Agata Harwood,Agata Harwood,74198 Bluestem Crossing,,Fort Worth,76192,2915,US,TX,N,6823275085,Y,aharwood1a@google.fr,N
71,01K0WQXDG6T9MX8TTT7VA94WJ7,PARTY_DISABLED,2022-09-28,Anne-marie,,McGilbon,,1961-02-02,003,003,,,055000770,wmcgilbon1y,,,4 Hoffman Pass,,Charlotte,28220,6615,US,NC,Y,7045772698,Y,amcgilbon1y@furl.net,Y
46,01K0WQXDDYBRSH4Z1VM0HGVT6H,PARTY_ENABLED,2021-06-30,Mabelle,,Bythell,,1971-07-06,001,002,,Edgeblab,072410013,kbythell19,,,2633 Tomscot Avenue,,Dayton,45414,3217,US,OH,N,9371694629,Y,,
53,01K0WQXDEG7YFFM9YD7YKJXZJR,PARTY_DISABLED,2024-07-03,Cullen,,Mullaly,U,1951-01-12,001,001,,Oyondu,044108641,dmullaly1g,,,6817 Daystar Lane,,Houston,77005,5031,US,TX,N,8326531562,Y,amullaly1g@blogs.com,Y
75,01K0WQXDGPYSH9Q8KWPFJ04ZJF,PARTY_ENABLED,2022-06-30,Johan,,Sturgeon,,1958-10-12,002,002,,Mudo,,asturgeon22,,,85 Fulton Crossing,,Philadelphia,19136,2084,US,PA,N,2675657949,Y,,
64,01K0WQXDFE7XKM9SK6FE8RDH7A,PARTY_ENABLED,2020-10-21,Aguistin,Aurie,Vergo,,1961-09-05,003,003,,Zoonder,031301846,avergo1r,Aurie Vergo,Aurie Vergo,84366 Graceland Terrace,,Atlanta,30340,9982,US,GA,Y,4045522625,N,,
76,01K0WQXDGS4241K1YB7V1MNERW,PARTY_ENABLED,2023-09-30,Milton,,Dorracott,F,1981-06-07,003,003,,,,ddorracott23,,,9217 Mockingbird Park,,Fort Wayne,46857,6403,US,IN,Y,2609297453,N,,
78,01K0WQXDH07FVVE4NS4J4GV9QR,PARTY_DISABLED,2020-07-27,Helyn,,Hughland,F,1962-05-23,002,002,,,,bhughland25,Butch Hughland,Butch Hughland,820 Onsgard Circle,,Salt Lake City,84135,9350,US,UT,Y,8017082886,N,bhughland25@youku.com,Y
91,01K0WQXDJM0VRE70SMQ16EQ01M,PARTY_DISABLED,2021-10-04,Tova,,Weinberg,,1995-06-02,001,001,G1,Devpulse,092901803,rweinberg2i,,,84856 Ilene Trail,,Amarillo,79182,6926,US,TX,Y,8067067481,Y,uweinberg2i@jimdo.com,Y
89,01K0WQXDJBRC69Q0VC1DXGQGSM,PARTY_ENABLED,2021-09-10,Patton,Clementia,Millington,U,2001-04-27,003,002,,Brainbox,061104958,cmillington2g,Clementia Millington,Clementia Millington,7234 Hoard Hill,,Salt Lake City,84199,6026,US,UT,Y,8014277812,Y,cmillington2g@163.com,N
59,01K0WQXDEZGQH3YEWXT7E0HFBW,PARTY_ENABLED,2021-01-10,Maximilianus,Denney,Vanyushin,M,1951-01-19,002,001,G4,,,dvanyushin1m,,,33 Springs Parkway,,Charlotte,28256,1293,US,NC,N,7044160956,N,dvanyushin1m@about.me,Y
62,01K0WQXDF7XRZFFV73TBRN7T62,PARTY_DISABLED,2022-08-16,Teddie,,Leall,M,1980-12-02,002,001,,,,bleall1p,,,04 Village Green Junction,,Orlando,32813,9086,US,FL,N,4073287795,N,ileall1p@cbslocal.com,N
86,01K0WQXDJ0JBV9HT5GNQ919WZ9,PARTY_DISABLED,2021-11-18,Con,,Crat,,2000-11-01,001,001,G3,,,acrat2d,,,7 4th Place,,Columbia,29225,7947,US,SC,Y,8039582243,Y,jcrat2d@rakuten.co.jp,N
54,01K0WQXDEJGT6QNNDF7JSKWCJW,PARTY_DISABLED,2023-05-16,Barbi,,Thomerson,,1981-05-14,001,001,G3,,,athomerson1h,,,0062 Park Meadow Trail,,Houston,77234,1066,US,TX,Y,7137830890,N,,
1,01K0WQXD6X2VDXJJD98S7219VE,PARTY_ENABLED,2022-05-12,Loria,Boigie,Beeck,,1955-11-12,002,002,,,261270417,bbeeck0,Boigie Beeck,Boigie Beeck,9072 Summer Ridge Junction,,Lincoln,68517,2955,US,NE,Y,4027960760,N,bbeeck0@discovery.com,N
37,01K0WQXDD87RVZ24H59BG2GPJD,PARTY_ENABLED,2021-12-20,Kimmy,Eustacia,Diter,F,1986-11-26,001,003,,,,editer10,,,26683 Randy Court,,Fort Lauderdale,33305,2837,US,FL,N,9545563267,Y,editer10@mediafire.com,N
44,01K0WQXDDS0V7MB1H09TR709Q6,PARTY_ENABLED,2021-05-13,Sawyere,,Sullens,,1999-01-05,002,003,,Skyvu,021309379,msullens17,,,34 Bluestem Trail,,Washington,20022,2794,US,DC,Y,2025133430,N,fsullens17@walmart.com,N
99,01K0WQXDKP087E51YDP9RYNXVM,PARTY_DISABLED,2020-03-12,Josephine,,Spens,U,1972-03-28,002,001,,,,nspens2q,Noach Spens,Noach Spens,9 Ridgeway Street,,Minneapolis,55407,606,US,MN,Y,6126408838,Y,nspens2q@shinystat.com,N
77,01K0WQXDGW9TPRMBN5K0RYNSNK,PARTY_DISABLED,2020-01-29,Kattie,Nicolle,Lefever,F,1951-09-17,001,002,,,,nlefever24,Nicolle Lefever,Nicolle Lefever,59309 Maple Wood Circle,,North Las Vegas,89036,8410,US,NV,N,7023555402,Y,nlefever24@comsenz.com,Y
19,01K0WQXDBQDN3CN2W04VC64D54,PARTY_DISABLED,2024-04-25,Oneida,Hermine,Ducker,,1954-03-31,003,002,,Centimia,,hduckeri,Hermine Ducker,Hermine Ducker,7 Lotheville Parkway,,Alhambra,91841,865,US,CA,N,6267350456,Y,hduckeri@bloomberg.com,Y
14,01K0WQXDAHHHEJZC58M1VJC9TD,PARTY_DISABLED,2024-02-08,Angelica,,Tidball,F,1976-02-13,001,002,,,,ktidballd,Kai Tidball,Kai Tidball,8825 Kenwood Pass,,Philadelphia,19160,6604,US,PA,Y,2154839418,N,ktidballd@sakura.ne.jp,N
39,01K0WQXDDD2XE76B3P0E58Q90Z,PARTY_DISABLED,2021-02-28,Dannie,Jacki,Philipet,F,1988-11-20,003,003,G2,,324377011,jphilipet12,,,93 Service Circle,,San Diego,92186,8382,US,CA,N,6198824437,N,jphilipet12@tripod.com,Y
61,01K0WQXDF3B2MED36FFX7EXHDX,PARTY_DISABLED,2025-04-18,Clare,,MacGarvey,,1961-08-08,002,002,,,,fmacgarvey1o,Florence MacGarvey,Florence MacGarvey,49 Cody Place,,Washington,20370,5238,US,DC,N,2026000276,Y,fmacgarvey1o@seesaa.net,N
12,01K0WQXDADMJHPSGZDAJYNZQ45,PARTY_ENABLED,2022-02-04,Gian,,Begbie,U,1963-10-07,003,002,,Twimbo,,mbegbieb,,,15 Macpherson Alley,,Tacoma,98417,3420,US,WA,Y,2537788284,N,,
100,01K0WQXDKTXB0JH403R47RGATP,PARTY_DISABLED,2024-09-04,Inness,,Ragbourn,F,1958-09-05,002,003,,,,dragbourn2r,,,237 Blaine Place,,New York City,10260,6921,US,NY,N,2128324286,Y,,
84,01K0WQXDHTJ010F9Y3XBXR094A,PARTY_ENABLED,2024-01-01,Nolie,,Kinsman,,1981-01-12,002,001,G2,Meezzy,,bkinsman2b,Burnard Kinsman,Burnard Kinsman,5 Arrowood Road,,Dallas,75310,3918,US,TX,Y,2143962011,N,,
16,01K0WQXDAP85JVKXMCTC3SVE12,PARTY_DISABLED,2020-02-17,Farlie,,Treace,U,1988-02-11,002,003,,Riffwire,,atreacef,,,570 Starling Way,,Washington,20220,4283,US,DC,Y,2026193666,N,ctreacef@indiatimes.com,N
34,01K0WQXDCZWEW982NZQFFXWRMW,PARTY_DISABLED,2023-07-03,Wilbur,,Nobles,,1968-06-07,002,002,,,084000819,pnoblesx,,,710 Sunnyside Junction,,Kansas City,64144,9429,US,MO,N,8163233980,N,vnoblesx@yellowbook.com,N
58,01K0WQXDEWHP86AHA771HSB39M,PARTY_ENABLED,2024-01-25,Ajay,,Sharply,M,1975-06-11,003,003,,,,jsharply1l,Jamesy Sharply,Jamesy Sharply,955 Esch Parkway,,Pensacola,32526,6802,US,FL,Y,8503492911,Y,jsharply1l@bloglines.com,Y
50,01K0WQXDE8HWK1443NH82RV24Q,PARTY_DISABLED,2021-11-13,Devan,Zack,Adame,,1994-05-26,001,003,,,,zadame1d,Zack Adame,Zack Adame,2 Kipling Crossing,,Lincoln,68583,3166,US,NE,Y,4024225259,Y,zadame1d@dailymotion.com,Y
90,01K0WQXDJFM47M860RP9EDY6AD,PARTY_DISABLED,2021-01-18,Dorry,Tatum,Eccott,,1965-12-29,002,001,G2,,,teccott2h,,,055 Anhalt Point,,Baltimore,21282,6558,US,MD,Y,4106027782,Y,,
35,01K0WQXDD2R9Y2GQQABBWPQ3DP,PARTY_DISABLED,2025-06-26,Marcelline,,Davenhall,F,1957-01-23,002,003,,Divape,071925350,mdavenhally,,,2733 Sycamore Drive,,San Jose,95113,2995,US,CA,Y,4089123680,Y,idavenhally@yolasite.com,N
70,01K0WQXDG0529BNGF0CGEPGNRQ,PARTY_DISABLED,2025-07-22,Clio,,Ivashechkin,F,1986-11-01,001,001,,,111000038,pivashechkin1x,,,,,,,,,,,9893102500,Y,pivashechkin1x@prlog.org,Y
5,01K0WQXD9Q5K11BZ5KP37ANZBC,PARTY_DISABLED,2021-02-08,Clyde,,M'cowis,U,1971-01-17,003,003,,,053107989,imcowis4,,,,,,,,,,,8172236428,N,imcowis4@telegraph.co.uk,N
4,01K0WQXD9J8CX80ZSS1QYPGSER,PARTY_ENABLED,2021-10-16,Hendrika,,Espine,F,1986-07-04,003,003,,Twimm,041002711,lespine3,,,,,,,,,,,8658820710,Y,lespine3@stumbleupon.com,N
83,01K0WQXDHPJS3117JXYZ7F6KS2,PARTY_ENABLED,2021-06-26,Madlen,,Ravillas,F,1959-02-07,001,003,G3,,,lravillas2a,,,,,,,,,,,4129289801,N,lravillas2a@nytimes.com,N
36,01K0WQXDD5K7BF6HT5SJ5P15DV,PARTY_DISABLED,2023-06-27,Deny,,Carpmile,,1950-10-12,001,003,G4,Midel,,jcarpmilez,,,,,,,,,,,6125067330,N,jcarpmilez@slideshare.net,Y
69,01K0WQXDFTVJPBRMN929A43B9A,PARTY_DISABLED,2023-08-06,Madelina,,Wozencraft,F,1998-01-03,003,001,G2,Demivee,056004720,ewozencraft1w,,,,,,,,,,,4059237801,N,awozencraft1w@squidoo.com,Y
11,01K0WQXDAA49W9RD2YTBP99XDX,PARTY_DISABLED,2020-05-09,Bar,,Syres,,1985-10-02,003,003,,,,zsyresa,,,,,,,,,,,2059358447,N,zsyresa@sciencedirect.com,N
63,01K0WQXDFBW8ASE82S0HME1008,PARTY_DISABLED,2022-11-24,Warren,Ailbert,Gaynsford,,1986-01-21,003,001,,Photofeed,031315007,agaynsford1q,,,,,,,,,,,4128475621,Y,agaynsford1q@homestead.com,Y
33,01K0WQXDCXZZP7DRN75E5APTPV,PARTY_ENABLED,2021-06-09,Ree,Estevan,Leverington,,1994-08-18,002,003,,,,eleveringtonw,,,,,,,,,,,3129373367,Y,eleveringtonw@china.com.cn,Y
3,01K0WQXD9FZHG663QXPZ0FK9B7,PARTY_ENABLED,2024-08-10,Cathee,Nicola,Mc Carrick,U,1951-06-28,003,003,,,027000407,nmccarrick2,,,,,,,,,,,7029349969,N,nmccarrick2@soundcloud.com,Y
98,01K0WQXDKH3T92B4R8Q65DRFBB,PARTY_DISABLED,2024-07-28,Tobye,,Elsmore,,1963-11-30,003,001,G3,,084107628,lelsmore2p,,,,,,,,,,,2134874204,N,kelsmore2p@studiopress.com,N
